,BHK,Baths,Total_Area_SqFt,BuiltUp_Area_Sqm,Price_per_SqFt,Type_of_Land,Location,Price
2057,0,0,1350,125,1800,Residential land / Plot,Alur,2550000
2058,0,0,1470,137,2700,Residential land / Plot,Jigani bommasandra link road,3969000
2059,2,2,1200,111,4750,Apartment,Kadugodi,5700000
2060,2,2,1285,119,6304,Apartment,Varthur,8100000
2061,2,2,1050,98,5333,Apartment,Whitefield,5600000
2062,0,0,2350,218,3191,Residential land / Plot,Anekal,7500000
2063,7,7,3000,279,3167,Bedroom House,Begur Road,9500000
2064,0,0,1500,139,2000,Residential land / Plot,Anekal,3000000
2065,2,2,600,56,23333,Bedroom House,Ittamadu,14000000
2066,2,2,1325,123,8200,Apartment,Bannerghatta Road,10900000
2067,4,4,5500,511,23636,Bedroom House,Vyalikaval,1300000
2068,2,2,1450,135,15172,Apartment,Ashok Nagar,22000000
2069,4,4,2800,260,6428,Bedroom House,Kothanur,18000000
2070,4,4,720,67,17361,Bedroom House,Cholur palya,12500000
2071,3,3,2900,269,7759,Apartment,Yeshwanthpur,22500000
2072,0,0,2647,246,5705,Residential land / Plot,Whitefield,15100000
2073,2,2,1100,102,5455,Apartment,Telecom Layout,6000000
2074,0,0,1244,116,5300,Residential land / Plot,Medahalli,6500000
2075,0,0,850,79,6500,Residential land / Plot,Chokkanahalli,5525000
2077,0,0,1200,111,2300,Residential land / Plot,Budhihal,2760000
2078,0,0,1785960,165921,28,Residential land / Plot,Devanahalli Int Airport,50000000
2079,2,2,1046,97,4971,Apartment,Kothannur,5200000
2080,3,3,1225,114,6530,Apartment,New Baiyyappanahalli,8000000
2081,2,2,1000,93,4000,Apartment,Electronics City Phase 1,4000000
2082,2,2,1431,133,5870,Apartment,Thanisandra,8400000
2083,0,0,2400,223,2500,Residential land / Plot,Chunchanakuppe,6000000
2084,2,2,1000,93,5000,Apartment,Lingarajapuram,5000000
2085,3,3,1200,111,4666,Bedroom House,Kanakapura,5600000
2086,0,0,1500,139,13000,Residential land / Plot,Bellandur,19500000
2087,2,2,883,82,5775,Apartment,Mysore Road,5100000
2088,3,3,1435,133,6968,Apartment,Thanisandra,10000000
2089,3,3,2030,189,12800,Apartment,Binny Pete,26000000
2090,2,2,1140,106,4035,Apartment,Electronic City,4600000
2091,6,0,1162,108,8946,Residential land / Plot,Banashankari 6th stage 6th block,10400000
2092,2,2,1056,98,6629,Apartment,3rd Block Hrbr Layout,7000000
2093,2,2,854,79,9953,Apartment,Hennur Road,8500000
2094,5,5,1200,111,10000,Bedroom House,Kumbalgodu,12000000
2095,0,0,740520,68797,11,Residential land / Plot,Electronic City,7800000
2096,3,3,1621,151,4935,Apartment,"Vaishnavi layout,vidyaranyapura",8000000
2097,2,2,1220,113,3196,Apartment,Horamavu Agara,3900000
2098,2,2,1200,111,5000,Apartment,Kaval Byrasandra,6000000
2099,5,5,1200,111,13750,Bedroom House,Kaval Byrasandra,16500000
2100,2,2,850,79,4235,Apartment,Gnana Bharathi,3600000
2101,2,2,1285,119,5058,Apartment,Marsur,6500000
2102,0,0,1500,139,1334,Residential land / Plot,Alur,2000000
2103,6,6,1200,111,10000,Apartment,Maranayakanahalli,12000000
2104,0,0,900,84,1500,Residential land / Plot,Mahatma Gandhi Nagar,1350000
2105,0,0,1500,139,5333,Residential land / Plot,Hennur Road,8000000
2106,3,3,1345,125,4832,Apartment,Jyotipuram,6500000
2107,0,0,8241,766,3191,Residential land / Plot,Gunjur,26300000
2108,2,2,1070,99,5140,Apartment,Thirupalya,5500000
2109,7,7,1200,111,10000,Bedroom House,Siddanahosahalli,12000000
