,location,price_per_sqft,total_sqft,builtup_area,bhk,price
106,3 BHK Apartment in Somajiguda,"₹ 5,226/sq.ft.","1,435 sq.ft. (133 sq.m.) Carpet Area",(133 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 75 L₹ 5,226/sq.ft."
107,2 BHK Apartment in Miyapur,"₹ 6,000/sq.ft.","1,000 sq.ft. (93 sq.m.) Carpet Area",(93 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 60 L₹ 6,000/sq.ft."
108,3 Bedroom House in Bowrampet,"₹ 6,521/sq.ft.","2,300 sq.ft. (214 sq.m.) Plot Area",(214 sq.m.) Plot Area,3 BHK3 Baths,"₹ 1.55 Cr₹ 6,521/sq.ft."
109,3 BHK Apartment in Mansoorabad,"₹ 5,844/sq.ft.","1,540 sq.ft. (143 sq.m.) Built-up Area",(143 sq.m.) Built-up Area,3 BHK3 Baths,"₹ 90 L₹ 5,844/sq.ft."
110,3 BHK Apartment in Pragathi Nagar,"₹ 4,387/sq.ft.","1,550 sq.ft. (144 sq.m.) Super built-up Area",(144 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 68 L₹ 4,387/sq.ft."
111,2 BHK Apartment in Tolichowki,"₹ 5,600/sq.ft.","1,250 sq.ft. (116 sq.m.) Built-up Area",(116 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 70 L₹ 5,600/sq.ft."
112,4 Bedroom House in Tellapur,"₹ 18,981/sq.ft.","2,160 sq.ft. (201 sq.m.) Plot Area",(201 sq.m.) Plot Area,4 BHK4 Baths,"₹ 4.1 Cr₹ 18,981/sq.ft."
113,2 BHK Apartment in Bandlaguda Jagir,"₹ 4,878/sq.ft.","1,271 sq.ft. (118 sq.m.) Built-up Area",(118 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 62 L₹ 4,878/sq.ft."
114,3 BHK Apartment in Alkapuri,"₹ 7,931/sq.ft.","1,450 sq.ft. (135 sq.m.) Carpet Area",(135 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 1.15 Cr₹ 7,931/sq.ft."
115,6 Bedroom House in Ameerpet,"₹ 24,561/sq.ft.","1,710 sq.ft. (159 sq.m.) Plot Area",(159 sq.m.) Plot Area,6 BHK7 Baths,"₹ 4.2 Cr₹ 24,561/sq.ft."
116,4 BHK Apartment in Gachibowli,"₹ 8,747/sq.ft.","2,848 sq.ft. (265 sq.m.) Super built-up Area",(265 sq.m.) Super built-up Area,4 BHK5 Baths,"₹ 2.6 Cr₹ 8,747/sq.ft."
117,2 BHK Apartment in Langer House,"₹ 5,483/sq.ft.","1,550 sq.ft. (144 sq.m.) Super built-up Area",(144 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 85 L₹ 5,483/sq.ft."
118,Residential land / Plot in Kondakal,"₹ 33,613/sq.ft.",238 sq.ft. (22 sq.m.) Plot Area,(22 sq.m.) Plot Area,,"₹ 80 L₹ 33,613/sq.ft."
119,2 BHK Apartment in Uppal,"₹ 5,853/sq.ft.","1,025 sq.ft. (95 sq.m.) Built-up Area",(95 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 58 L₹ 5,853/sq.ft."
120,Residential land / Plot in Ghatkesar,"₹ 4,357/sq.ft.","2,205 sq.ft. (205 sq.m.) Plot Area",(205 sq.m.) Plot Area,,"₹ 1 Cr₹ 4,357/sq.ft."
121,Residential land / Plot in Nadargul,"₹ 3,889/sq.ft.","10,908 sq.ft. (1013 sq.m.) Plot Area",(1013 sq.m.) Plot Area,,"₹ 4.24 Cr₹ 3,889/sq.ft."
122,Residential land / Plot in Shanthi Nagar,"₹ 16,667/sq.ft.","2,700 sq.ft. (251 sq.m.) Plot Area",(251 sq.m.) Plot Area,,"₹ 4.5 Cr₹ 16,667/sq.ft."
123,3 BHK Apartment in Manikonda,"₹ 6,994/sq.ft.","1,787 sq.ft. (166 sq.m.) Super built-up Area",(166 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.25 Cr₹ 6,994/sq.ft."
124,5 Bedroom House in Patancheru,"₹ 11,056/sq.ft.","1,800 sq.ft. (167 sq.m.) Plot Area",(167 sq.m.) Plot Area,5 BHK5 Baths,"₹ 1.99 Cr₹ 11,056/sq.ft."
125,3 BHK Apartment in Machabolaram,"₹ 5,456/sq.ft.","1,576 sq.ft. (146 sq.m.) Super built-up Area",(146 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 86 L₹ 5,456/sq.ft."
