,location,price_per_sqft,total_sqft,builtup_area,bhk,price
125,2 BHK Apartment in Sector 2 Kharghar,"₹ 13,076/sq.ft.","1,040 sq.ft. (97 sq.m.) Super built-up Area",(97 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 1.36 Cr₹ 13,076/sq.ft."
126,2 BHK Apartment in Roadpali,"₹ 7,361/sq.ft.","1,080 sq.ft. (100 sq.m.) Super built-up Area",(100 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 79.5 L₹ 7,361/sq.ft."
127,1 BHK Apartment in Sector 21 Kamothe,"₹ 8,308/sq.ft.",680 sq.ft. (63 sq.m.) Built-up Area,(63 sq.m.) Built-up Area,1 BHK1 Bath,"₹ 56.5 L₹ 8,308/sq.ft."
128,Residential land / Plot in Vindhane,₹ 367/sq.ft.,"1,089 sq.ft. (101 sq.m.) Plot Area",(101 sq.m.) Plot Area,,₹ 4 L₹ 367/sq.ft.
129,2 BHK Apartment in Sector 19 Kharghar,"₹ 11,061/sq.ft.","1,130 sq.ft. (105 sq.m.) Super built-up Area",(105 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 1.25 Cr₹ 11,061/sq.ft."
130,1 BHK Apartment in Sector 20 Kharghar,"₹ 14,572/sq.ft.",398 sq.ft. (37 sq.m.) Carpet Area,(37 sq.m.) Carpet Area,1 BHK2 Baths,"₹ 58 L₹ 14,572/sq.ft."
131,3 BHK Apartment in Sector 27 Kharghar,"₹ 12,212/sq.ft.","1,515 sq.ft. (141 sq.m.) Super built-up Area",(141 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 2 Cr₹ 12,212/sq.ft."
132,2 BHK Apartment in Sector 20 Kharghar,"₹ 10,454/sq.ft.","1,100 sq.ft. (102 sq.m.) Super built-up Area",(102 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 1.15 Cr₹ 10,454/sq.ft."
133,Residential land / Plot in Uran,₹ 385/sq.ft.,"1,089 sq.ft. (101 sq.m.) Plot Area",(101 sq.m.) Plot Area,,₹ 4.2 L₹ 385/sq.ft.
134,1 BHK Apartment in New Panvel,"₹ 6,766/sq.ft.",665 sq.ft. (62 sq.m.) Built-up Area,(62 sq.m.) Built-up Area,1 BHK1 Bath,"₹ 45 L₹ 6,766/sq.ft."
135,2 BHK Apartment in Taloja,"₹ 5,051/sq.ft.",980 sq.ft. (91 sq.m.) Super built-up Area,(91 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 49.5 L₹ 5,051/sq.ft."
136,2 BHK Apartment in Kharghar,"₹ 10,285/sq.ft.","1,050 sq.ft. (98 sq.m.) Super built-up Area",(98 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 1.08 Cr₹ 10,285/sq.ft."
137,2 BHK Apartment in Sector 20 Kamothe,"₹ 7,300/sq.ft.","1,000 sq.ft. (93 sq.m.) Super built-up Area",(93 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 73 L₹ 7,300/sq.ft."
138,2 BHK Apartment in Ulwe,"₹ 6,958/sq.ft.","1,200 sq.ft. (111 sq.m.) Super built-up Area",(111 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 83.5 L₹ 6,958/sq.ft."
