,location,price_per_sqft,total_sqft,builtup_area,bhk,price
509,2 BHK Apartment in Bhopura,"₹ 3,095/sq.ft.","1,050 sq.ft. (98 sq.m.) Super built-up Area",(98 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 32.5 L₹ 3,095/sq.ft."
510,1 BHK Apartment in Lajpat Nagar Ghaziabad,"₹ 6,039/sq.ft.",430 sq.ft. (40 sq.m.) Carpet Area,(40 sq.m.) Carpet Area,1 BHK2 Baths,"₹ 26 L₹ 6,039/sq.ft."
511,3 BHK Apartment in Sector 10A Gurgaon,"₹ 4,568/sq.ft.","1,795 sq.ft. (167 sq.m.) Carpet Area",(167 sq.m.) Carpet Area,3 BHK2 Baths,"₹ 82 L₹ 4,568/sq.ft."
512,3 Bedroom House in DLF Phase 3,"₹ 158,333/sq.ft.",60 sq.ft. (6 sq.m.) Plot Area,(6 sq.m.) Plot Area,3 BHK3 Baths,"₹ 95 L₹ 158,333/sq.ft."
513,4 BHK Independent Builder Floor in Indirapuram,"₹ 5,666/sq.ft.","1,500 sq.ft. (139 sq.m.) Carpet Area",(139 sq.m.) Carpet Area,4 BHK3 Baths,"₹ 85 L₹ 5,666/sq.ft."
514,3 BHK Apartment in Ghazipur,"₹ 10,434/sq.ft.","1,150 sq.ft. (107 sq.m.) Built-up Area",(107 sq.m.) Built-up Area,3 BHK2 Baths,"₹ 1.2 Cr₹ 10,434/sq.ft."
515,4 BHK Apartment in West Vinod Nagar,"₹ 13,214/sq.ft.","1,400 sq.ft. (130 sq.m.) Carpet Area",(130 sq.m.) Carpet Area,4 BHK3 Baths,"₹ 1.85 Cr₹ 13,214/sq.ft."
516,2 BHK Independent Builder Floor in Safdarjung Enclave,"₹ 11,851/sq.ft.",810 sq.ft. (75 sq.m.) Carpet Area,(75 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 96 L₹ 11,851/sq.ft."
517,4 BHK Apartment in Sector 150 Noida,"₹ 8,281/sq.ft.","3,200 sq.ft. (297 sq.m.) Carpet Area",(297 sq.m.) Carpet Area,4 BHK4 Baths,"₹ 2.65 Cr₹ 8,281/sq.ft."
518,2 BHK Independent Builder Floor in Tilak Nagar,"₹ 11,000/sq.ft.",900 sq.ft. (84 sq.m.) Carpet Area,(84 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 99 L₹ 11,000/sq.ft."
519,3 BHK Apartment in Shalimar Garden Extension 2,"₹ 3,437/sq.ft.","1,600 sq.ft. (149 sq.m.) Built-up Area",(149 sq.m.) Built-up Area,3 BHK2 Baths,"₹ 55 L₹ 3,437/sq.ft."
520,Residential land / Plot in DLF Phase 2,"₹ 35,000/sq.ft.","1,800 sq.ft. (167 sq.m.) Plot Area",(167 sq.m.) Plot Area,,"₹ 6.3 Cr₹ 35,000/sq.ft."
521,2 Bedroom House in Mohan Garden,"₹ 10,370/sq.ft.",540 sq.ft. (50 sq.m.) Plot Area,(50 sq.m.) Plot Area,2 BHK2 Baths,"₹ 56 L₹ 10,370/sq.ft."
522,3 BHK Independent Builder Floor in Sector 52 Gurgaon,"₹ 10,750/sq.ft.","1,600 sq.ft. (149 sq.m.) Super built-up Area",(149 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.72 Cr₹ 10,750/sq.ft."
523,2 BHK Apartment in Sector 150 Noida,"₹ 6,727/sq.ft.","1,100 sq.ft. (102 sq.m.) Super built-up Area",(102 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 74 L₹ 6,727/sq.ft."
524,10 Bedroom House in Sector 76 Faridabad,"₹ 11,848/sq.ft.","2,700 sq.ft. (251 sq.m.) Plot Area",(251 sq.m.) Plot Area,10 BHK7 Baths,"₹ 3.2 Cr₹ 11,848/sq.ft."
525,4 BHK Independent Builder Floor in Krishna Nagar,"₹ 11,905/sq.ft.","2,100 sq.ft. (195 sq.m.) Built-up Area",(195 sq.m.) Built-up Area,4 BHK3 Baths,"₹ 2.5 Cr₹ 11,905/sq.ft."
526,5 BHK Apartment in Sector 150 Noida,"₹ 12,735/sq.ft.","6,400 sq.ft. (595 sq.m.) Super built-up Area",(595 sq.m.) Super built-up Area,5 BHK6 Baths,"₹ 6.75 Cr₹ 12,735/sq.ft."
527,Residential land / Plot in Sector-35 Sohna,"₹ 7,333/sq.ft.",972 sq.ft. (90 sq.m.) Plot Area,(90 sq.m.) Plot Area,,"₹ 71.28 L₹ 7,333/sq.ft."
528,3 BHK Apartment in Sector 82 Gurgaon,"₹ 6,145/sq.ft.","1,790 sq.ft. (166 sq.m.) Super built-up Area",(166 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.05 Cr₹ 6,145/sq.ft."
529,4 BHK Independent Builder Floor in DLF Phase 2,"₹ 14,821/sq.ft.","2,800 sq.ft. (260 sq.m.) Carpet Area",(260 sq.m.) Carpet Area,4 BHK4 Baths,"₹ 4.15 Cr₹ 14,821/sq.ft."
530,3 BHK Apartment in Sector 1 Greater Noida West,"₹ 7,037/sq.ft.","1,350 sq.ft. (125 sq.m.) Built-up Area",(125 sq.m.) Built-up Area,3 BHK2 Baths,"₹ 95 L₹ 7,037/sq.ft."
531,3 BHK Apartment in Mehrauli,"₹ 6,593/sq.ft.","1,350 sq.ft. (125 sq.m.) Built-up Area",(125 sq.m.) Built-up Area,3 BHK2 Baths,"₹ 89 L₹ 6,593/sq.ft."
532,3 Bedroom House in South City 1,"₹ 22,429/sq.ft.",535 sq.ft. (50 sq.m.) Plot Area,(50 sq.m.) Plot Area,3 BHK3 Baths,"₹ 1.2 Cr₹ 22,429/sq.ft."
533,2 Bedroom House in Sector 130 Noida,"₹ 10,098/sq.ft.","2,475 sq.ft. (230 sq.m.) Plot Area",(230 sq.m.) Plot Area,2 BHK1 Bath,"₹ 2.5 Cr₹ 10,098/sq.ft."
534,1 BHK Apartment in Jasola,"₹ 6,701/sq.ft.",194 sq.ft. (18 sq.m.) Carpet Area,(18 sq.m.) Carpet Area,1 BHK1 Bath,"₹ 13 L₹ 6,701/sq.ft."
535,2 BHK Apartment in Sector 75 Noida,"₹ 6,181/sq.ft.","1,100 sq.ft. (102 sq.m.) Super built-up Area",(102 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 68 L₹ 6,181/sq.ft."
536,3 Bedroom House in Chander Nagar,"₹ 28,889/sq.ft.",450 sq.ft. (42 sq.m.) Plot Area,(42 sq.m.) Plot Area,3 BHK3 Baths,"₹ 1.3 Cr₹ 28,889/sq.ft."
537,Residential land / Plot in Sector 145 Noida,"₹ 9,755/sq.ft.","4,101 sq.ft. (381 sq.m.) Plot Area",(381 sq.m.) Plot Area,,"₹ 4 Cr₹ 9,755/sq.ft."
538,3 BHK Apartment in Dwarka Expressway Gurgaon,"₹ 7,825/sq.ft.","1,689 sq.ft. (157 sq.m.) Super built-up Area",(157 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.42 Cr₹ 7,825/sq.ft."
539,2 BHK Apartment in Sushant Lok Phase 2,"₹ 9,112/sq.ft.",856 sq.ft. (80 sq.m.) Carpet Area,(80 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 78 L₹ 9,112/sq.ft."
540,4 BHK Independent Builder Floor in Sector 67 Gurgaon,"₹ 7,281/sq.ft.","2,335 sq.ft. (217 sq.m.) Built-up Area",(217 sq.m.) Built-up Area,4 BHK3 Baths,"₹ 1.8 Cr₹ 7,281/sq.ft."
541,5 Bedroom House in Punjabi Bagh West,"₹ 20,250/sq.ft.","4,000 sq.ft. (372 sq.m.) Built-up Area",(372 sq.m.) Built-up Area,5 BHK3 Baths,"₹ 8.1 Cr₹ 20,250/sq.ft."
542,Residential land / Plot in Sector 45 Gurgaon,"₹ 19,444/sq.ft.","2,486 sq.ft. (231 sq.m.) Plot Area",(231 sq.m.) Plot Area,,"₹ 4.83 Cr₹ 19,444/sq.ft."
543,3 BHK Apartment in Vasant Kunj,"₹ 14,545/sq.ft.","2,200 sq.ft. (204 sq.m.) Super built-up Area",(204 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 3.2 Cr₹ 14,545/sq.ft."
544,2 BHK Apartment in Kaushambi,"₹ 6,900/sq.ft.","1,000 sq.ft. (93 sq.m.) Carpet Area",(93 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 69 L₹ 6,900/sq.ft."
545,2 BHK Apartment in AD Block Shalimar Bagh,"₹ 14,444/sq.ft.",900 sq.ft. (84 sq.m.) Carpet Area,(84 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 1.3 Cr₹ 14,444/sq.ft."
546,1 BHK Independent Builder Floor in New Palam Vihar,"₹ 2,909/sq.ft.",550 sq.ft. (51 sq.m.) Carpet Area,(51 sq.m.) Carpet Area,1 BHK1 Bath,"₹ 16 L₹ 2,909/sq.ft."
547,2 BHK Independent Builder Floor in New Ashok Nagar,"₹ 4,285/sq.ft.",700 sq.ft. (65 sq.m.) Carpet Area,(65 sq.m.) Carpet Area,2 BHK1 Bath,"₹ 30 L₹ 4,285/sq.ft."
548,Residential land / Plot in Sector 133 Noida,"₹ 13,333/sq.ft.","2,151 sq.ft. (200 sq.m.) Plot Area",(200 sq.m.) Plot Area,,"₹ 2.75 Cr₹ 13,333/sq.ft."
549,Residential land / Plot in Jail Road,"₹ 66,667/sq.ft.","1,980 sq.ft. (184 sq.m.) Plot Area",(184 sq.m.) Plot Area,,"₹ 13.2 Cr₹ 66,667/sq.ft."
550,9 Bedroom House in Nehru Nagar 3,"₹ 13,431/sq.ft.","4,095 sq.ft. (380 sq.m.) Plot Area",(380 sq.m.) Plot Area,9 BHK4 Baths,"₹ 5.5 Cr₹ 13,431/sq.ft."
551,3 BHK Independent Builder Floor in Badarpur,"₹ 5,310/sq.ft.","1,224 sq.ft. (114 sq.m.) Carpet Area",(114 sq.m.) Carpet Area,3 BHK2 Baths,"₹ 65 L₹ 5,310/sq.ft."
552,2 BHK Apartment in Noida Extension,"₹ 5,759/sq.ft.",955 sq.ft. (89 sq.m.) Super built-up Area,(89 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 55 L₹ 5,759/sq.ft."
553,3 BHK Apartment in Sector 133 Noida,"₹ 5,300/sq.ft.","1,516 sq.ft. (141 sq.m.) Built-up Area",(141 sq.m.) Built-up Area,3 BHK3 Baths,"₹ 78 L₹ 5,300/sq.ft."
554,4 Bedroom House in Sector 27 Greater Noida,"₹ 19,695/sq.ft.","1,345 sq.ft. (125 sq.m.) Plot Area",(125 sq.m.) Plot Area,4 BHK5 Baths,"₹ 2.65 Cr₹ 19,695/sq.ft."
555,2 BHK Apartment in Sohna,"₹ 4,861/sq.ft.",576 sq.ft. (54 sq.m.) Carpet Area,(54 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 28 L₹ 4,861/sq.ft."
556,4 BHK Independent Builder Floor in Sector 43 Faridabad,"₹ 3,690/sq.ft.","4,200 sq.ft. (390 sq.m.) Super built-up Area",(390 sq.m.) Super built-up Area,4 BHK5 Baths,"₹ 1.49 Cr₹ 3,690/sq.ft."
557,3 BHK Apartment in Okhla Vihar,"₹ 8,333/sq.ft.",900 sq.ft. (84 sq.m.) Carpet Area,(84 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 75 L₹ 8,333/sq.ft."
558,4 BHK Independent Builder Floor in Sector 14 Gurgaon,"₹ 8,125/sq.ft.","4,000 sq.ft. (372 sq.m.) Super built-up Area",(372 sq.m.) Super built-up Area,4 BHK4 Baths,"₹ 3.25 Cr₹ 8,125/sq.ft."
559,3 BHK Apartment in Sector 150 Noida,"₹ 7,000/sq.ft.","2,000 sq.ft. (186 sq.m.) Super built-up Area",(186 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.4 Cr₹ 7,000/sq.ft."
560,3 BHK Apartment in Sector 22 Dwarka,"₹ 7,560/sq.ft.","2,500 sq.ft. (232 sq.m.) Super built-up Area",(232 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.89 Cr₹ 7,560/sq.ft."
561,3 BHK Apartment in Surajkund,"₹ 7,359/sq.ft.","2,106 sq.ft. (196 sq.m.) Super built-up Area",(196 sq.m.) Super built-up Area,3 BHK4 Baths,"₹ 1.55 Cr₹ 7,359/sq.ft."
562,2 BHK Independent Builder Floor in Sector 31 Gurgaon,"₹ 7,137/sq.ft.","1,247 sq.ft. (116 sq.m.) Carpet Area",(116 sq.m.) Carpet Area,2 BHK1 Bath,"₹ 89 L₹ 7,137/sq.ft."
563,Residential land / Plot in Ghodi Bacheda,"₹ 26,086/sq.ft.",230 sq.ft. (21 sq.m.) Plot Area,(21 sq.m.) Plot Area,,"₹ 60 L₹ 26,086/sq.ft."
564,Residential land / Plot in Sector 57 Gurgaon,"₹ 18,333/sq.ft.",900 sq.ft. (84 sq.m.) Plot Area,(84 sq.m.) Plot Area,,"₹ 1.65 Cr₹ 18,333/sq.ft."
565,Residential land / Plot in Sector 39 Gurgaon,"₹ 16,667/sq.ft.","3,078 sq.ft. (286 sq.m.) Plot Area",(286 sq.m.) Plot Area,,"₹ 5.13 Cr₹ 16,667/sq.ft."
566,2 BHK Independent Builder Floor in Sriniwas Puri,"₹ 9,583/sq.ft.",720 sq.ft. (67 sq.m.) Carpet Area,(67 sq.m.) Carpet Area,2 BHK1 Bath,"₹ 69 L₹ 9,583/sq.ft."
567,3 BHK Apartment in Mohan Nagar,"₹ 4,845/sq.ft.","1,775 sq.ft. (165 sq.m.) Super built-up Area",(165 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 86 L₹ 4,845/sq.ft."
568,3 BHK Apartment in Khirki Extension,"₹ 4,814/sq.ft.","1,350 sq.ft. (125 sq.m.) Super built-up Area",(125 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 65 L₹ 4,814/sq.ft."
569,1 BHK Independent Builder Floor in Sector 16 Rohini,"₹ 10,720/sq.ft.",279 sq.ft. (26 sq.m.) Carpet Area,(26 sq.m.) Carpet Area,1 BHK1 Bath,"₹ 30 L₹ 10,720/sq.ft."
570,3 BHK Apartment in Sector 80 Gurgaon,"₹ 7,688/sq.ft.","1,821 sq.ft. (169 sq.m.) Super built-up Area",(169 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.4 Cr₹ 7,688/sq.ft."
571,6 Bedroom House in Mianwali Nagar,"₹ 50,179/sq.ft.","1,395 sq.ft. (130 sq.m.) Plot Area",(130 sq.m.) Plot Area,6 BHK5 Baths,"₹ 6.8 Cr₹ 50,179/sq.ft."
572,2 BHK Independent Builder Floor in Greater Noida West,"₹ 4,629/sq.ft.","1,080 sq.ft. (100 sq.m.) Carpet Area",(100 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 50 L₹ 4,629/sq.ft."
573,2 BHK Apartment in Rampuri,"₹ 4,333/sq.ft.",900 sq.ft. (84 sq.m.) Carpet Area,(84 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 39 L₹ 4,333/sq.ft."
574,3 BHK Independent Builder Floor in Mahendra Enclave,"₹ 3,437/sq.ft.",970 sq.ft. (90 sq.m.) Super built-up Area,(90 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 34 L₹ 3,437/sq.ft."
575,3 BHK Independent Builder Floor in New Industrial Township 2,"₹ 4,770/sq.ft.","2,405 sq.ft. (223 sq.m.) Super built-up Area",(223 sq.m.) Super built-up Area,3 BHK4 Baths,"₹ 1.1 Cr₹ 4,770/sq.ft."
576,Residential land / Plot in Akash Nagar,"₹ 1,666/sq.ft.","5,400 sq.ft. (502 sq.m.) Plot Area",(502 sq.m.) Plot Area,,"₹ 90 L₹ 1,666/sq.ft."
577,3 BHK Independent Builder Floor in B5 Block Paschim Vihar,"₹ 17,778/sq.ft.","1,125 sq.ft. (105 sq.m.) Carpet Area",(105 sq.m.) Carpet Area,3 BHK2 Baths,"₹ 2 Cr₹ 17,778/sq.ft."
578,2 BHK Independent Builder Floor in Greater Kailash I,"₹ 14,800/sq.ft.","1,250 sq.ft. (116 sq.m.) Carpet Area",(116 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 1.85 Cr₹ 14,800/sq.ft."
579,Residential land / Plot in Jewar,"₹ 16,000/sq.ft.",100 sq.ft. (9 sq.m.) Plot Area,(9 sq.m.) Plot Area,,"₹ 16 L₹ 16,000/sq.ft."
580,2 BHK Apartment in Sector 65 Gurgaon,"₹ 11,514/sq.ft.","1,433 sq.ft. (133 sq.m.) Super built-up Area",(133 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 1.65 Cr₹ 11,514/sq.ft."
581,3 BHK Apartment in Sector 168 Noida,"₹ 6,000/sq.ft.","2,200 sq.ft. (204 sq.m.) Super built-up Area",(204 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.32 Cr₹ 6,000/sq.ft."
582,5 BHK Apartment in Sector 168 Noida,"₹ 6,500/sq.ft.","6,000 sq.ft. (557 sq.m.) Super built-up Area",(557 sq.m.) Super built-up Area,5 BHK5 Baths,"₹ 3.9 Cr₹ 6,500/sq.ft."
583,4 BHK Independent Builder Floor in DLF Phase 2,"₹ 16,512/sq.ft.","2,150 sq.ft. (200 sq.m.) Built-up Area",(200 sq.m.) Built-up Area,4 BHK5 Baths,"₹ 3.55 Cr₹ 16,512/sq.ft."
584,4 BHK Apartment in Sector 79 Noida,"₹ 16,883/sq.ft.","2,575 sq.ft. (239 sq.m.) Super built-up Area",(239 sq.m.) Super built-up Area,4 BHK4 Baths,"₹ 2.6 Cr₹ 16,883/sq.ft."
585,2 BHK Apartment in Mayur Vihar Phase 1,"₹ 12,500/sq.ft.","1,200 sq.ft. (111 sq.m.) Built-up Area",(111 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 1.5 Cr₹ 12,500/sq.ft."
586,Residential land / Plot in Sector 64 Faridabad,"₹ 5,556/sq.ft.","3,420 sq.ft. (318 sq.m.) Plot Area",(318 sq.m.) Plot Area,,"₹ 1.9 Cr₹ 5,556/sq.ft."
587,1 BHK Independent Builder Floor in NRI City,"₹ 5,038/sq.ft.",655 sq.ft. (61 sq.m.) Super built-up Area,(61 sq.m.) Super built-up Area,1 BHK1 Bath,"₹ 33 L₹ 5,038/sq.ft."
588,2 BHK Apartment in Crossing Republik,"₹ 3,223/sq.ft.","1,365 sq.ft. (127 sq.m.) Carpet Area",(127 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 44 L₹ 3,223/sq.ft."
589,3 BHK Independent Builder Floor in Mohan Garden,"₹ 4,820/sq.ft.",892 sq.ft. (83 sq.m.) Super built-up Area,(83 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 43 L₹ 4,820/sq.ft."
590,Residential land / Plot in Sector 37 Gurgaon,"₹ 15,590/sq.ft.","3,528 sq.ft. (328 sq.m.) Plot Area",(328 sq.m.) Plot Area,,"₹ 5.5 Cr₹ 15,590/sq.ft."
591,3 BHK Independent Builder Floor in Sector 99 Gurgaon,"₹ 9,042/sq.ft.","1,880 sq.ft. (175 sq.m.) Super built-up Area",(175 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.7 Cr₹ 9,042/sq.ft."
592,4 BHK Independent Builder Floor in Indirapuram,"₹ 10,000/sq.ft.","2,400 sq.ft. (223 sq.m.) Super built-up Area",(223 sq.m.) Super built-up Area,4 BHK4 Baths,"₹ 2.4 Cr₹ 10,000/sq.ft."
593,2 BHK Independent Builder Floor in Ashok Vihar Phase 3 Extension,"₹ 5,066/sq.ft.",750 sq.ft. (70 sq.m.) Super built-up Area,(70 sq.m.) Super built-up Area,2 BHK1 Bath,"₹ 38 L₹ 5,066/sq.ft."
594,2 BHK Apartment in Ramprastha,"₹ 10,791/sq.ft.",834 sq.ft. (77 sq.m.) Built-up Area,(77 sq.m.) Built-up Area,2 BHK3 Baths,"₹ 90 L₹ 10,791/sq.ft."
595,3 BHK Apartment in Paharganj,"₹ 17,872/sq.ft.","1,410 sq.ft. (131 sq.m.) Built-up Area",(131 sq.m.) Built-up Area,3 BHK3 Baths,"₹ 2.52 Cr₹ 17,872/sq.ft."
596,4 Bedroom House in Sector 42 Faridabad,"₹ 10,454/sq.ft.","2,200 sq.ft. (204 sq.m.) Carpet Area",(204 sq.m.) Carpet Area,4 BHK4 Baths,"₹ 2.3 Cr₹ 10,454/sq.ft."
597,3 BHK Apartment in Sector 43 Noida,"₹ 14,368/sq.ft.","2,088 sq.ft. (194 sq.m.) Super built-up Area",(194 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 3 Cr₹ 14,368/sq.ft."
598,2 BHK Independent Builder Floor in Todapur,"₹ 5,714/sq.ft.",700 sq.ft. (65 sq.m.) Carpet Area,(65 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 40 L₹ 5,714/sq.ft."
599,3 BHK Independent Builder Floor in Sector 4 Rohini,"₹ 5,000/sq.ft.","2,100 sq.ft. (195 sq.m.) Carpet Area",(195 sq.m.) Carpet Area,3 BHK2 Baths,"₹ 1.05 Cr₹ 5,000/sq.ft."
600,3 BHK Apartment in Sector 59 Gurgaon,"₹ 18,615/sq.ft.","2,095 sq.ft. (195 sq.m.) Super built-up Area",(195 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 3.9 Cr₹ 18,615/sq.ft."
601,3 BHK Apartment in NH 24 Highway,"₹ 5,000/sq.ft.","2,000 sq.ft. (186 sq.m.) Super built-up Area",(186 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1 Cr₹ 5,000/sq.ft."
602,4 BHK Independent Builder Floor in Sushant Lok Phase 1,"₹ 12,121/sq.ft.","3,300 sq.ft. (307 sq.m.) Super built-up Area",(307 sq.m.) Super built-up Area,4 BHK5 Baths,"₹ 4 Cr₹ 12,121/sq.ft."
