,location,price_per_sqft,total_sqft,builtup_area,bhk,price
324,Residential land / Plot in Nehru Nagar 3,"₹ 6,061/sq.ft.","3,465 sq.ft. (322 sq.m.) Plot Area",(322 sq.m.) Plot Area,,"₹ 2.5 Cr₹ 6,061/sq.ft."
325,2 BHK Apartment in Sector 6 Dwarka,"₹ 10,333/sq.ft.","1,200 sq.ft. (111 sq.m.) Super built-up Area",(111 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 1.45 Cr₹ 10,333/sq.ft."
326,13 Bedroom House in Sector 92 Noida,"₹ 18,600/sq.ft.","5,000 sq.ft. (465 sq.m.) Plot Area",(465 sq.m.) Plot Area,13 BHK13 Baths,"₹ 9.3 Cr₹ 18,600/sq.ft."
327,2 BHK Independent Builder Floor in Lajpat Nagar I,"₹ 15,000/sq.ft.",900 sq.ft. (84 sq.m.) Carpet Area,(84 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 1.35 Cr₹ 15,000/sq.ft."
328,4 BHK Apartment in Sector 95 Gurgaon,"₹ 6,511/sq.ft.","2,150 sq.ft. (200 sq.m.) Super built-up Area",(200 sq.m.) Super built-up Area,4 BHK4 Baths,"₹ 1.4 Cr₹ 6,511/sq.ft."
329,4 BHK Independent Builder Floor in Sector 81 Faridabad,"₹ 8,000/sq.ft.","2,000 sq.ft. (186 sq.m.) Built-up Area",(186 sq.m.) Built-up Area,4 BHK3 Baths,"₹ 1.6 Cr₹ 8,000/sq.ft."
330,Residential land / Plot in DLF Phase 3,"₹ 20,833/sq.ft.","3,564 sq.ft. (331 sq.m.) Plot Area",(331 sq.m.) Plot Area,,"₹ 7 Cr₹ 20,833/sq.ft."
331,Residential land / Plot in Sector 77 Faridabad,"₹ 5,576/sq.ft.","2,152 sq.ft. (200 sq.m.) Plot Area",(200 sq.m.) Plot Area,,"₹ 1.2 Cr₹ 5,576/sq.ft."
332,3 BHK Apartment in Rajendar Nagar,"₹ 6,086/sq.ft.","1,150 sq.ft. (107 sq.m.) Carpet Area",(107 sq.m.) Carpet Area,3 BHK2 Baths,"₹ 70 L₹ 6,086/sq.ft."
333,4 BHK Independent Builder Floor in Naraina Vihar,"₹ 12,500/sq.ft.","1,800 sq.ft. (167 sq.m.) Carpet Area",(167 sq.m.) Carpet Area,4 BHK3 Baths,"₹ 2.25 Cr₹ 12,500/sq.ft."
334,3 BHK Apartment in Sector 8 Rohini,"₹ 8,750/sq.ft.","1,600 sq.ft. (149 sq.m.) Built-up Area",(149 sq.m.) Built-up Area,3 BHK3 Baths,"₹ 1.4 Cr₹ 8,750/sq.ft."
